iter	TotalF1	MultiClass
0	0.345911443	1.074869253
1	0.3467983514	1.059941476
2	0.3682499767	1.044929629
3	0.3730829589	1.036768624
4	0.3909977863	1.024451058
5	0.4360931307	1.007943316
6	0.4530017567	0.9978291574
7	0.4669949644	0.9887661858
8	0.4905243437	0.9735798071
9	0.5014309799	0.962404894
10	0.5131201478	0.9502944749
11	0.5175373348	0.9392804721
12	0.5210309531	0.9274343143
13	0.5228214997	0.9223232432
14	0.5242696106	0.9135702128
15	0.5260495599	0.9063739131
16	0.5250384929	0.9000723573
17	0.5263712271	0.8945957606
18	0.5267311441	0.8889181474
19	0.5275230825	0.8850149253
20	0.5292698836	0.8777485382
21	0.5304400129	0.8743814923
22	0.531549343	0.8716225449
23	0.5315626984	0.8683468391
24	0.5334332002	0.8622426379
25	0.5342293312	0.8580481672
26	0.5337221816	0.8536523961
27	0.5348134508	0.8511878222
28	0.5342351948	0.8491822786
29	0.5343945571	0.8464413566
30	0.5350296973	0.8439462434
31	0.535374349	0.8418079234
32	0.5350201729	0.8403861868
33	0.5361546767	0.8385097647
34	0.5359281728	0.8351356522
35	0.5365433832	0.8323669377
36	0.5363952612	0.8306757562
37	0.5372111072	0.8287959086
38	0.5368285988	0.8273938139
39	0.537350967	0.8253278726
40	0.5377088595	0.8235185943
41	0.5383506206	0.821990784
42	0.5381147473	0.8196036727
43	0.5378518386	0.8186144295
44	0.537917988	0.8161649206
45	0.5376971312	0.8156327045
46	0.537873164	0.8151245327
47	0.5387420867	0.813395273
48	0.5388248852	0.8122864284
49	0.539053381	0.8103787077
50	0.5392727396	0.8100160151
51	0.5394692155	0.8083990163
52	0.5401272897	0.8073347268
53	0.5405552906	0.8068301327
54	0.5407568934	0.80540451
55	0.5409455195	0.8037980558
56	0.5405300993	0.8024573616
57	0.5415815887	0.8009583734
58	0.541409947	0.8006067946
59	0.5417336307	0.8001018346
60	0.5421179337	0.7995927764
61	0.5421725113	0.7975083473
62	0.5429506246	0.7968257328
63	0.5429872005	0.7953888764
64	0.5439844092	0.7946942445
65	0.5450167818	0.7939351913
66	0.5460178963	0.7922369137
67	0.5459505387	0.7914203648
68	0.5469283754	0.7897199133
69	0.5471526034	0.7892292966
70	0.546856169	0.7878669137
71	0.5474965364	0.787319325
72	0.5474845592	0.7861466913
73	0.547606499	0.7853051285
74	0.5479771337	0.784880708
75	0.5480504641	0.784601328
76	0.5481930596	0.7841833845
77	0.5484890453	0.7836148296
78	0.5493778706	0.7829717798
79	0.5502764103	0.7823916226
80	0.5501133441	0.7820171913
81	0.5506996833	0.7813927602
82	0.5511956528	0.7801405471
83	0.5514037418	0.7794372822
84	0.5513793103	0.7791623391
85	0.552389308	0.7785326404
86	0.5521967177	0.7780151182
87	0.55266271	0.7775657844
88	0.5532165497	0.7762165494
89	0.5526866835	0.7756589616
90	0.5537354168	0.7745808926
91	0.5538912386	0.7741019844
92	0.5542306079	0.7731212905
93	0.5550974457	0.772727632
94	0.5557399887	0.7725160016
95	0.5558466485	0.7720427572
96	0.5562737883	0.7709338534
97	0.5563674466	0.7706488519
98	0.556365367	0.7704020559
99	0.5567907738	0.7697862824
