iter	Passed	Remaining
0	669	66306
1	1060	51982
2	1331	43038
3	1723	41359
4	2000	38005
5	2217	34737
6	2468	32800
7	2634	30301
8	3038	30723
9	7910	71196
10	10550	85362
11	14235	104394
12	18932	126699
13	24690	151672
14	26835	152068
15	27240	143012
16	27568	134598
17	27797	126632
18	27979	119281
19	28259	113038
20	32030	120497
21	34513	122367
22	39052	130739
23	45662	144599
24	50679	152038
25	54062	153870
26	57247	154780
27	59848	153895
28	62415	152810
29	63056	147132
30	64628	143850
31	64824	137752
32	65010	131991
33	65258	126677
34	65442	121536
35	65602	116627
36	65901	112211
37	66208	108023
38	66389	103839
39	66556	99834
40	66717	96007
41	66834	92295
42	66918	88706
43	67009	85284
44	67102	82014
45	67176	78858
46	67234	75817
47	67305	72913
48	67378	70128
49	67456	67456
50	67516	64868
51	67608	62407
52	67681	60019
53	67745	57709
54	67808	55479
55	67879	53333
56	67935	51249
57	68029	49262
58	68103	47326
59	68175	45450
60	68237	43627
61	68303	41863
62	68376	40157
63	68448	38502
64	68523	36897
65	68600	35339
66	68670	33822
67	68748	32352
68	68829	30923
69	68898	29527
70	68979	28174
71	69037	26847
72	69096	25556
73	69153	24297
74	69214	23071
75	69267	21873
76	69326	20707
77	69393	19572
78	69465	18465
79	69524	17381
80	69583	16322
81	69650	15289
82	69741	14284
83	69812	13297
84	69889	12333
85	69976	11391
86	70049	10467
87	70110	9560
88	70190	8675
89	70267	7807
90	70338	6956
91	70403	6122
92	70484	5305
93	70550	4503
94	70608	3716
95	70681	2945
96	70753	2188
97	70825	1445
98	70967	716
99	71078	0
